ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Accession_Name,Country_of_Origin,Region,Alu.Tol,Flowering time at Arkansas,Flowering time at Faridpur,Flowering time at Aberdeen,FT ratio of Arkansas/Aberdeen,FT ratio of Faridpur/Aberdeen,Culm habit,Leaf pubescence,Flag leaf length,Flag leaf width,Awn presence,Panicle number per plant,Plant height,Panicle length,Primary panicle branch number,Seed number per panicle,Florets per panicle,Panicle fertility,Seed length,Seed width,Seed volume,Seed surface area,Brown rice seed length,Brown rice seed width,Brown rice surface area,Brown rice volume,Seed length/width ratio,Brown rice length/width ratio,Seed color,Pericarp color,Straighthead suseptability,Blast resistance,Amylose content,Alkali spreading value,Protein content
NSFTV1,-32.46174155249408,-6.386945093340189,-19.19740993775125,-0.6595099361046118,0.0399591719843017,-0.222522570703505,1.0884139984940084,-1.4028337193453246,0.7021054779280224,-2.462527644989715,Agostano,Italy,Europe,0.73,75.08333333,64,81,0.926954733,0.790123457,4,1,28.375,1.283333333,0,3.068052935,110.9166667,20.48181818,9.272727273,4.785975442,4.914658225,0.879,8.064116667,3.685183333,2.587447569,3.914120138,5.794541667,3.113958333,3.51115158,7.737358333,2.188,1.861,light,light,4.833333334,8,15.61333333,6.083333334,8.45
NSFTV3,46.81619484711757,17.689728201699044,-8.169951196965135,0.8603693885270843,-2.298634373495477,13.824545054986023,-6.235944756587211,-1.6389676586719286,-0.20396559027406946,-0.5367022959916188,Ai-Chiao-Hong,China,E Asia,0.3,89.5,66,83,1.078313253,0.795180723,7.5,0,39.00833333,1,0,4.051784948,143.5,26.83333333,9.166666667,4.439705746,4.727387819,0.75,7.705383333,2.951458333,2.111145089,3.658708865,5.603658333,2.56645,3.287373062,5.10535,2.611,2.183,light,light,7.831666667,4,23.26,5.638888889,9.2
NSFTV4,36.14609438073469,-20.230681806317996,7.029167715417967,-4.745013913581092,0.21808965750285825,7.515589300780591,11.14113693302102,9.922380188381796,17.920867627380318,1.9566921200922283,NSF-TV 4,Unknown,NA,0.54,94.5,67,93,1.016129032,0.720430108,6,1,27.68333333,1.516666667,0,3.124565145,128.0833333,23.53333333,8.666666667,5.07970897,5.146436835,0.935,8.237575,2.926366667,2.154758678,3.713855969,6.120341667,2.466983333,3.334125877,5.126958333,2.815,2.481,light,light,NA,3,23.12,5.527777778,8
NSFTV5,-4.614446449299694,-7.670305593978088,4.928649464255662,40.71836846938512,0.08530544511227395,-0.8411561296339777,-1.345162764007619,5.018650920701206,-0.8005386943348137,0.8927531784510712,NSF-TV 5,Unknown,NA,0.44,87.5,70,108,0.810185185,0.648148148,3.5,1,30.41666667,0.891666667,0,3.697178257,153.75,28.96363636,6.363636364,4.523960131,4.730921391,0.813,9.709375,2.3821,1.94022138,3.700053664,7.089883333,2.0446083330000002,3.297791744,4.085133333,4.076,3.468,light,light,8.333333334,5,19.32333333,6.027777778,9.6
NSFTV6,34.109524955044385,-20.176602123072417,7.214955120464963,-4.242024577310876,1.0604644707474942,8.252190842637916,13.33849296383064,10.964431685556542,19.17887184570576,1.2609789820732928,ARC 7229,India,S Asia,0.57,89.08333333,73,101,0.882013201,0.722772277,6,1,36.90833333,1.75,0,2.857427602,148.3333333,30.91666667,11.16666667,5.538645743,5.676468373,0.871,7.118183333,3.281891667,2.202359519,3.657370297,5.136483333,2.803858333,3.284327991,5.555183333,2.169,1.832,light,light,8.166666667,3,23.24,5.444444445,8.5
NSFTV7,-19.072254366735976,6.318094413000835,18.233469708680527,-0.45436798315851185,-1.2239673703211849,0.6157332895210401,0.21639831753670852,2.393024073981585,0.452989808373491,2.4187122863716652,Arias,Indonesia,Pacific,0.86,105,NA,158,0.664556962,NA,3,1,36.99,1.55,1,2.859021228,119.6,24.625,13.33333333,5.338018733,5.43590303,0.907,7.347254545,2.528890909,1.774465329,3.474791087,5.485345455,2.188881818,3.101568676,3.591045455,2.905,2.506,light,light,8.585,2,20.18666667,6,11.75
NSFTV8,-21.95070595486816,6.937289323124202,17.612410321808188,0.9108010211172695,-4.134497501378295,-0.3248267226819721,2.259999492683206,-1.5551852942701485,-0.09892665705276289,-0.9547044136702377,Asse Y Pung,Philippines,Pacific,0.664,101.5833333,74,122,0.832650273,0.606557377,2.5,NA,41.95,1.858333333,0,2.621038824,147.4166667,31.5,12.22222222,5.54691205,5.794705943,0.781,8.572091667,2.654675,2.044537332,3.691182217,6.510433333,2.241341667,3.304196579,4.524383333,3.229,2.905,light,light,6.998333334,2,22.195,6.75,8.7
NSFTV9,-26.9452493581186,-4.975869832650817,-11.500379068836677,3.5881210553752463,0.5497599595615995,0.3952397037197758,2.3057498574194097,-3.4879713934639667,2.0732737776227634,-5.254907761800513,Baber,India,S Asia,0.723,73,75,81,0.901234568,0.925925926,6.5,1,24.425,1.2125,1,2.924504764,128.875,20.2,7.875,4.620058798,4.739482524,0.887,7.679875,3.3821875,2.352660146,3.768963219,5.459725,2.917775,3.385437596,6.3641875,2.271,1.871,light,light,7.168333334,9,22.56333333,5.25,9.9
NSFTV10,-33.37583329790107,-5.586472618917623,-20.87762338455522,-2.1781909408590674,-0.7091630695304512,0.04440892230571027,-1.9168166186068807,3.9132127370830356,-1.4768320284918703,7.030460528466895,Baghlani Nangarhar,Afghanistan,Mid East,0.902,89,55,74,1.202702703,0.743243243,3,NA,27.9,1,1,3.650658241,83,22.16666667,10.33333333,4.110873864,4.733270189,0.537,7.859,3.23325,2.265360786,3.729249146,5.088266667,2.937733333,3.309969856,5.9129,2.431,1.732,light,light,3.33,2,15.09666667,7,9.5
NSFTV11,46.21830579884346,11.767082576939906,-6.6741832749470476,0.046096324368260874,0.6671667912117908,-6.776801730979297,-3.5855209071566536,-3.093046000629178,3.563686739256836,4.346379370364333,Baguamon 15,Bangladesh,S Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,22.76333333,7,NA
NSFTV13,36.18674659254434,-29.114308190731958,7.494162309479537,-2.659239421184099,-1.3144867860433576,-0.20408024079610163,-0.8995790177713885,-4.501233144941993,-0.593497955045849,1.6203673086441397,NSF-TV 13,Unknown,NA,0.39,100.3333333,73,94,1.067375887,0.776595745,6,1,37.875,1.225,1,3.493134877,135.1666667,25.49,8.6,4.907494535,5.017279837,0.896,8.36956,2.73408,2.007076473,3.639387431,5.91732,2.38245,3.265614362,4.63269,3.061,2.484,light,light,NA,6,25.255,4.708333334,8.05
NSFTV14,-22.290742797398686,6.338917988134547,18.237408197327973,-1.9862738876723653,6.004143765077797,3.2142396185730027,5.95988420475224,-5.535440271186901,-0.7491998099211318,7.206175440577663,NA,NA,NA,0.44,97,75,178,0.54494382,0.421348315,2.333333333,1,30.23333333,0.911111111,0,3.753417975,117.8888889,28.85,10.83333333,4.578569504,5.01146828,0.649,9.3015125,2.3113625,1.845853006,3.626343926,6.869485714,1.959057143,3.221024942,3.6672,4.024,3.507,light,light,6.335,1,17.27,6.333333333,NA
